Channel Name,Country,Subscribers,Views,Uploads,Genre,Monthly Salary,Annual Salary
Worldwide Records Bhojpuri,IN,6511837,3148291358,2004,Music,496650,5950600
Truth and Art TV,,75569,11256587,344,People,4514.5,54050
WaveMusic,US,1869781,438837389,1015,Entertainment,66500,796950
Zee Music Company,IN,26519001,12910156978,3586,Music,1169500,14200000
WorkpointOfficial,TH,19096326,15232881590,26708,Entertainment,1167400,13750000
Like Nastya Vlog,,11023062,3817129876,179,People,1116800,13600000
Lip Sync Battle,US,2712796,738181423,516,Entertainment,478800,5738000
Badabun,MX,26946909,6943724699,3317,Entertainment,1115300,13350000
kamikadzedead,RU,1511684,488953963,931,Comedy,902850,10800000
Ch3Thailand,TH,12921240,10494316490,53217,Entertainment,1117200,13700000
Vlad and Nikita,,0,2589271004,75,Miscellaneous,1061750,12600000
Shemaroo Filmi Gaane,IN,16701096,7717356837,5282,Music,1009450,12100000
WORLDSTARHIPHOP,US,17471600,12166669902,4963,Music,1008300,11900000
Ryan ToysReview,US,16992127,25474969454,1199,Entertainment,505600,6056900
T-Series Bhakti Sagar,IN,13296916,5184233871,19731,Music,1063150,12900000
El Reino Infantil,AR,17053557,17349254821,606,Music,955300,11250000
Speed Records,IN,17029649,8696936103,5959,Music,955250,11250000
WeTalkFootball,GB,408705,196939036,50,Sports,418450,5045400
Karaoke Nhan KTV,US,0,267831221,1315,Music,322100,3877350
GMA Network,PH,7158202,8212080432,68400,Entertainment,849850,10150000
BillionSurpriseToys - Nursery Rhymes & Songs,MX,18744349,6050386784,234,Education,903100,10850000
Colors TV,IN,13821997,9261056853,25065,Entertainment,901750,10550000
Goldmines Telefilms,IN,16683774,1369114298,311,Film,848450,9900000
GR6 EXPLODE,BR,18684041,8504117117,2619,Music,850750,10350000
Luccas Neto,BR,20477251,4344800750,534,People,690700,8288500
Maroon5VEVO,US,15681675,11060906370,112,Music,796700,9500000
Ozuna - Topic,,136025,87952252,150,Music,32250,386750
Toys and Colors,US,6163222,3102093075,158,Education,798200,9850000
Izabela Stress,US,2697399,805499136,396,Howto,637050,7544450
SonyMusicIndiaVEVO,US,15331411,6981825598,2970,Music,795900,9350000
LES BOYS TV2,US,0,1037898893,149,Entertainment,849300,10050000
CKN Toys,AU,9780258,8355984284,454,Entertainment,745100,9200000
Sony Music India,IN,19071621,7762626230,2309,Music,849400,10100000
Doggy Doggy Cartoons,ES,11644567,3824871661,1108,Entertainment,638400,7810600
GRAMMY GOLD OFFICIAL,TH,8243511,7297590686,3023,Music,796950,9550000
Ultra Bollywood,IN,11801761,7059289789,10721,Entertainment,849650,10150000
Infobells - Hindi,IN,9176602,4660416951,189,Education,742250,8600000
Boong Candy Kid Show,US,0,7164379,26,Miscellaneous,0,0
T-Series Apna Punjab,IN,11726995,6103512828,3593,Music,690400,8235100
Super Simple Songs - Kids Songs,CA,12243106,11200035547,444,Education,691050,8392700
CVS 3D Rhymes,IN,16450486,10157896869,317,Education,690100,8181000
MORGENSHTERN,RU,2580576,157701390,44,Music,314400,3771900
Gaane Sune Ansune,IN,10658637,4754828814,1850,Music,689600,8075350
etvteluguindia,IN,5255936,4697453230,63086,Entertainment,584600,7064950
Felipe Neto,BR,27121851,5102682313,1399,Entertainment,638650,7863700
RedeTV,BR,6533503,3959999551,17501,Entertainment,531350,6376250
TheEllenShow,US,29091256,14054842766,9424,Entertainment,638650,7864000
Las Ratitas,ES,7789297,1896899929,101,People,637150,7595700
SMTOWN,KR,16722326,12304456977,3421,Music,742350,8650000
Filmi Jhankar,IN,0,743806593,373,People,796550,9500000
Shemaroo Movies,IN,3394410,900829783,605,Miscellaneous,79600,956200
